Cell	Reads	Forward	Reverse
20220708_GM12878.sc001	43	18	25
20220708_GM12878.sc002	64	27	37
20220708_GM12878.sc003	53	21	32
20220708_GM12878.sc004	72	34	38
20220708_GM12878.sc005	123	72	51
20220708_GM12878.sc006	57	24	33
20220708_GM12878.sc007	103	52	51
20220708_GM12878.sc008	103	57	46
20220708_GM12878.sc009	32	21	11
20220708_GM12878.sc010	46	22	24
20220708_GM12878.sc011	123	61	62
20220708_GM12878.sc012	133	61	72
20220708_GM12878.sc013	69	36	33
20220708_GM12878.sc014	76	40	36
20220708_GM12878.sc015	87	47	40
20220708_GM12878.sc016	34	11	23
20220708_GM12878.sc017	95	51	44
20220708_GM12878.sc018	85	43	42
20220708_GM12878.sc019	69	31	38
20220708_GM12878.sc020	43	24	19
20220708_GM12878.sc021	70	37	33
20220708_GM12878.sc022	53	29	24
20220708_GM12878.sc023	115	57	58
20220708_GM12878.sc024	74	42	32
20220708_GM12878.sc025	42	23	19
20220708_GM12878.sc026	32	19	13
20220708_GM12878.sc027	79	41	38
20220708_GM12878.sc028	26	14	12
20220708_GM12878.sc029	75	44	31
20220708_GM12878.sc030	73	43	30
20220708_GM12878.sc031	66	27	39
20220708_GM12878.sc032	81	31	50
20220708_GM12878.sc033	122	59	63
20220708_GM12878.sc034	73	35	38
20220708_GM12878.sc035	76	29	47
20220708_GM12878.sc036	101	55	46
20220708_GM12878.sc037	67	36	31
20220708_GM12878.sc038	18	12	6
20220708_GM12878.sc039	40	24	16
20220708_GM12878.sc040	15	7	8
20220708_GM12878.sc041	33	17	16
20220708_GM12878.sc042	58	28	30
20220708_GM12878.sc043	45	22	23
20220708_GM12878.sc044	61	36	25
20220708_GM12878.sc045	64	34	30
20220708_GM12878.sc046	46	21	25
20220708_GM12878.sc047	74	33	41
20220708_GM12878.sc048	82	46	36
20220708_GM12878.sc049	62	35	27
20220708_GM12878.sc050	50	25	25
20220708_GM12878.sc051	65	31	34
20220708_GM12878.sc052	90	47	43
20220708_GM12878.sc053	54	29	25
20220708_GM12878.sc054	69	26	43
20220708_GM12878.sc055	94	43	51
20220708_GM12878.sc056	40	16	24
20220708_GM12878.sc057	50	18	32
20220708_GM12878.sc058	96	46	50
20220708_GM12878.sc059	56	28	28
20220708_GM12878.sc060	126	60	66
20220708_GM12878.sc061	71	37	34
20220708_GM12878.sc062	130	67	63
20220708_GM12878.sc063	43	26	17
20220708_GM12878.sc064	61	37	24
20220708_GM12878.sc065	50	17	33
20220708_GM12878.sc066	70	37	33
20220708_GM12878.sc067	70	31	39
20220708_GM12878.sc068	58	27	31
20220708_GM12878.sc069	40	18	22
20220708_GM12878.sc070	37	18	19
20220708_GM12878.sc071	20	12	8
20220708_GM12878.sc072	65	36	29
20220708_GM12878.sc073	15	8	7
20220708_GM12878.sc074	73	35	38
20220708_GM12878.sc075	61	28	33
20220708_GM12878.sc076	77	37	40
20220708_GM12878.sc077	61	31	30
20220708_GM12878.sc078	86	43	43
20220708_GM12878.sc079	85	49	36
20220708_GM12878.sc080	39	20	19
20220708_GM12878.sc081	67	33	34
20220708_GM12878.sc082	103	52	51
20220708_GM12878.sc083	80	44	36
20220708_GM12878.sc084	116	54	62
20220708_GM12878.sc085	71	38	33
20220708_GM12878.sc086	1	1	0
20220708_GM12878.sc087	46	21	25
20220708_GM12878.sc088	106	56	50
20220708_GM12878.sc089	70	25	45
20220708_GM12878.sc090	54	34	20
20220708_GM12878.sc091	50	24	26
20220708_GM12878.sc092	32	17	15
20220708_GM12878.sc093	16	8	8
20220708_GM12878.sc094	81	47	34
unclassified	3772	0	0
